spam	Your Microsoft subscription auto-renews at $100/mo. Cancel here: https://tinyurl.com/test
spam	Your Shopify free trial ends in 1 hours. Upgrade now to keep premium features.
spam	URGENT: Your Target password was changed. If this was not you, secure your account now.
spam	Subject: Final notice - your Instagram invoice #6930 is overdue by 7 days
spam	Shopify noticed you left items in your cart. Complete your purchase for 20% off.
spam	Your Amazon parcel is held at customs. Pay $5000 processing fee to release.
spam	Claim your Tesla bonus: $50 added to your wallet. Withdraw before 2026-04-03.
spam	Dear Anna, your Dropbox order #2790 has a problem. Click to update shipping info.
spam	Dear customer, your Instagram account has been compromised. Verify at https://bit.ly/abc
spam	Dear customer, your Google account has been compromised. Verify at https://claim.now/123
spam	Your Facebook subscription will expire today. Renew now at https://claim.now/123 or lose access.
spam	Your Shopify subscription will expire today. Renew now at https://bit.ly/abc or lose access.
spam	Your Amazon account was used to purchase $2500. If not you, call +1-800-522-1406 immediately.
spam	You have a pending refund of $5000 from Spotify. Confirm your bank details at https://claim.now/123.
spam	Your Amazon free trial ends in 6 hours. Upgrade now to keep premium features.
spam	ALERT: Your GitHub card ending in 8043 was charged $1000. Dispute within 48h.
spam	ALERT: Your Uber card ending in 7790 was charged $5000. Dispute within 2h.
spam	Your Instagram subscription will expire today. Renew now at https://bit.ly/abc or lose access.
spam	Your Shopify subscription auto-renews at $2500/mo. Cancel here: https://claim.now/123
spam	Your Tesla payment of $5000 failed. Update your payment method to avoid service interruption.
spam	Congratulations! You have won a free subscription from Instagram. Click https://t.co/xyz to claim.
spam	Winner notification: Your email was selected for a $500 PayPal grant. Reply to confirm.
spam	Subject: Your Dropbox KYC verification is pending. Complete within 48 hours.
spam	Congratulations! You have won a $1000 prize from Shopify. Click https://t.co/xyz to claim.
spam	Dear user, your FedEx storage is 73% full. Upgrade to avoid data loss.
spam	Your FedEx delivery address needs confirmation. Verify at https://tinyurl.com/test or item returns to sender.
spam	Your GitHub account has been limited. Please verify your identity to restore full access.
spam	Winner notification: Your email was selected for a $2500 Spotify grant. Reply to confirm.
spam	Your Airbnb account was used to purchase $5000. If not you, call +1-800-193-4750 immediately.
spam	ALERT: Your Slack card ending in 6403 was charged $5000. Dispute within 6h.
spam	Congratulations! You have won a MacBook Pro from eBay. Click https://tinyurl.com/test to claim.
spam	Congratulations! You have won a free subscription from Airbnb. Click https://claim.now/123 to claim.
spam	Special offer: Get 30% off your next Spotify purchase. Use code CLAIM at checkout.
spam	USPS noticed you left items in your cart. Complete your purchase for 10% off.
spam	Dear Sarah, your Spotify order #8056 has a problem. Click to update shipping info.
spam	Your Samsung parcel is held at customs. Pay $100 processing fee to release.
spam	Subject: Your Stripe KYC verification is pending. Complete within 12 hours.
spam	Your Spotify free trial ends in 24 hours. Upgrade now to keep premium features.
spam	ALERT: Your Spotify card ending in 1742 was charged $5000. Dispute within 6h.
spam	Your Best Buy payment of $1000 failed. Update your payment method to avoid service interruption.
spam	Your Instagram subscription auto-renews at $50/mo. Cancel here: https://bit.ly/abc
spam	Subject: Netflix account alert - action required within 12 hours
spam	Your Twitter parcel is held at customs. Pay $50 processing fee to release.
spam	Your Microsoft delivery address needs confirmation. Verify at https://claim.now/123 or item returns to sender.
spam	Subject: Your DHL KYC verification is pending. Complete within 2 hours.
spam	Subject: Your Facebook KYC verification is pending. Complete within 48 hours.
spam	Dear valued customer, we detected suspicious activity on your Shopify account.
spam	Your Twitter account was used to purchase $50. If not you, call +1-800-510-9584 immediately.
spam	Congratulations! You have won a MacBook Pro from Target. Click https://tinyurl.com/test to claim.
spam	Your eBay subscription auto-renews at $50/mo. Cancel here: https://claim.now/123
spam	Your LinkedIn free trial ends in 1 hours. Upgrade now to keep premium features.
spam	Special offer: Get 75% off your next Shopify purchase. Use code XYZ789 at checkout.
spam	We found 100 unclaimed rewards in your FedEx account. Claim before 2026-03-06.
spam	We found 1000 unclaimed rewards in your Spotify account. Claim before 2026-05-02.
spam	PayPal noticed you left items in your cart. Complete your purchase for 20% off.
spam	Congratulations! You have won a MacBook Pro from Amazon. Click https://t.co/xyz to claim.
spam	Dear James, your USPS order #1713 has a problem. Click to update shipping info.
spam	Security alert: Unusual sign-in to your UPS account from Brazil. Was this you?
spam	Security alert: Unusual sign-in to your Costco account from China. Was this you?
spam	Security alert: Unusual sign-in to your Best Buy account from Unknown Location. Was this you?
spam	Subject: Your PayPal KYC verification is pending. Complete within 48 hours.
spam	ALERT: Your Walmart card ending in 2077 was charged $250. Dispute within 48h.
spam	Your eBay subscription will expire today. Renew now at https://claim.now/123 or lose access.
spam	Your Stripe subscription auto-renews at $1000/mo. Cancel here: https://bit.ly/abc
spam	Your Airbnb parcel is held at customs. Pay $500 processing fee to release.
spam	Dear Sarah, your PayPal order #9171 has a problem. Click to update shipping info.
spam	Winner notification: Your email was selected for a $1000 Tesla grant. Reply to confirm.
spam	URGENT: Your Target password was changed. If this was not you, secure your account now.
spam	UPS noticed you left items in your cart. Complete your purchase for 50% off.
spam	Your Costco free trial ends in 12 hours. Upgrade now to keep premium features.
spam	Dear David, your Stripe order #3399 has a problem. Click to update shipping info.
spam	Your Microsoft subscription will expire today. Renew now at https://t.co/xyz or lose access.
spam	You have a pending refund of $5000 from Costco. Confirm your bank details at https://bit.ly/abc.
spam	Subject: Spotify account alert - action required within 2 hours
spam	Your Walmart subscription auto-renews at $2500/mo. Cancel here: https://bit.ly/abc
spam	ALERT: Your Zoom card ending in 2489 was charged $1000. Dispute within 24h.
spam	Dear valued customer, we detected suspicious activity on your Best Buy account.
spam	Your Apple payment of $2500 failed. Update your payment method to avoid service interruption.
spam	Winner notification: Your email was selected for a $100 Zoom grant. Reply to confirm.
spam	Your Facebook subscription will expire today. Renew now at https://t.co/xyz or lose access.
spam	Claim your Samsung bonus: $500 added to your wallet. Withdraw before 2026-12-27.
spam	Subject: Final notice - your GitHub invoice #8639 is overdue by 3 days
spam	Your Costco free trial ends in 1 hours. Upgrade now to keep premium features.
spam	Your Netflix parcel is held at customs. Pay $1000 processing fee to release.
spam	Your Shopify delivery address needs confirmation. Verify at https://tinyurl.com/test or item returns to sender.
spam	Dear customer, your Instagram account has been compromised. Verify at https://t.co/xyz
spam	Subject: Your Airbnb KYC verification is pending. Complete within 6 hours.
spam	Congratulations! You have won a $500 gift card from Zoom. Click https://tinyurl.com/test to claim.
spam	URGENT: Your Amazon password was changed. If this was not you, secure your account now.
spam	Your Dropbox parcel is held at customs. Pay $250 processing fee to release.
spam	Your Twitter delivery address needs confirmation. Verify at https://t.co/xyz or item returns to sender.
spam	Congratulations! You have won a $1000 prize from Best Buy. Click https://claim.now/123 to claim.
spam	Your DHL delivery address needs confirmation. Verify at https://t.co/xyz or item returns to sender.
spam	Your Apple free trial ends in 1 hours. Upgrade now to keep premium features.
spam	Subject: Twitter account alert - action required within 1 hours
spam	Winner notification: Your email was selected for a $250 USPS grant. Reply to confirm.
spam	Security alert: Unusual sign-in to your Amazon account from Brazil. Was this you?
spam	Subject: Your Microsoft KYC verification is pending. Complete within 48 hours.
spam	Dear customer, your USPS account has been compromised. Verify at https://tinyurl.com/test
spam	Your Costco subscription auto-renews at $50/mo. Cancel here: https://claim.now/123
spam	Subject: Your GitHub KYC verification is pending. Complete within 1 hours.
spam	Your Twitter delivery address needs confirmation. Verify at https://claim.now/123 or item returns to sender.
spam	Special offer: Get 30% off your next PayPal purchase. Use code ABC123 at checkout.
